,Player,Pos,G,PassYds,PassTDs,Int,RushYds,RushTDs,Rec,RecYds,RecTDs
0,A.J. Brown,WR,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1079.0,7.0
1,Aaron Jones,RB,0.0,0.0,0.0,0.0,1138.0,5.0,51.0,408.0,2.0
2,Aaron Rodgers,QB,17.0,3897.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0
3,Adam Thielen,WR,0.0,0.0,0.0,0.0,0.0,0.0,48.0,615.0,5.0
4,Alec Pierce,WR,0.0,0.0,0.0,0.0,0.0,0.0,37.0,824.0,7.0
5,Alexander Mattison,RB,0.0,0.0,0.0,0.0,420.0,4.0,36.0,294.0,1.0
6,Allen Lazard,WR,0.0,0.0,0.0,0.0,0.0,0.0,37.0,530.0,6.0
7,Alvin Kamara,RB,0.0,0.0,0.0,0.0,950.0,6.0,68.0,543.0,2.0
8,Amari Cooper,WR,0.0,0.0,0.0,0.0,0.0,0.0,44.0,547.0,4.0
9,Amari Cooper,WR,0.0,0.0,0.0,0.0,0.0,0.0,24.0,250.0,2.0
10,Amari Cooper,WR,0.0,0.0,0.0,0.0,0.0,0.0,20.0,297.0,2.0
11,Ameer Abdullah,RB,0.0,0.0,0.0,0.0,311.0,2.0,40.0,261.0,3.0
12,Amon-Ra St. Brown,WR,0.0,0.0,0.0,0.0,0.0,0.0,115.0,1263.0,12.0
13,Andrei Iosivas,WR,0.0,0.0,0.0,0.0,0.0,0.0,36.0,479.0,6.0
14,Anthony Richardson,QB,11.0,1814.0,8.0,12.0,499.0,6.0,0.0,0.0,0.0
15,Antonio Gibson,RB,0.0,0.0,0.0,0.0,538.0,1.0,0.0,0.0,0.0
16,Audric Estime,RB,0.0,0.0,0.0,0.0,310.0,2.0,0.0,0.0,0.0
17,Austin Ekeler,RB,0.0,0.0,0.0,0.0,367.0,4.0,35.0,366.0,0.0
18,Austin Hooper,TE,0.0,0.0,0.0,0.0,0.0,0.0,45.0,476.0,3.0
19,Baker Mayfield,QB,17.0,4500.0,41.0,16.0,378.0,3.0,0.0,0.0,0.0
20,Bijan Robinson,RB,0.0,0.0,0.0,0.0,1456.0,14.0,61.0,431.0,1.0
21,Blake Corum,RB,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0
22,Bo Nix,QB,17.0,3775.0,29.0,12.0,430.0,4.0,0.0,0.0,0.0
23,Braelon Allen,RB,0.0,0.0,0.0,0.0,334.0,2.0,0.0,0.0,0.0
24,Breece Hall,RB,0.0,0.0,0.0,0.0,876.0,5.0,57.0,483.0,3.0
25,Brenton Strange,TE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,411.0,2.0
26,Brian Robinson Jr.,RB,0.0,0.0,0.0,0.0,799.0,8.0,0.0,0.0,0.0
27,Brian Thomas,WR,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1282.0,10.0
28,Brock Bowers,TE,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1194.0,5.0
29,Brock Purdy,QB,15.0,3864.0,20.0,12.0,323.0,5.0,0.0,0.0,0.0
30,Bryce Young,QB,14.0,2403.0,15.0,9.0,249.0,6.0,0.0,0.0,0.0
31,Bucky Irving,RB,0.0,0.0,0.0,0.0,1122.0,8.0,47.0,392.0,0.0
32,C.J. Stroud,QB,17.0,3727.0,20.0,12.0,233.0,0.0,0.0,0.0,0.0
33,Cade Otton,TE,0.0,0.0,0.0,0.0,0.0,0.0,59.0,600.0,4.0
34,Caleb Williams,QB,17.0,3541.0,20.0,6.0,489.0,0.0,0.0,0.0,0.0
35,Calvin Austin III,WR,0.0,0.0,0.0,0.0,0.0,0.0,36.0,548.0,4.0
36,Calvin Ridley,WR,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1017.0,4.0
37,Cam Akers,RB,0.0,0.0,0.0,0.0,444.0,2.0,0.0,0.0,0.0
38,Cam Akers,RB,0.0,0.0,0.0,0.0,147.0,1.0,0.0,0.0,0.0
39,Cam Akers,RB,0.0,0.0,0.0,0.0,297.0,1.0,0.0,0.0,0.0
40,Carson Steele,RB,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0
41,CeeDee Lamb,WR,0.0,0.0,0.0,0.0,0.0,0.0,101.0,1194.0,6.0
42,Chase Brown,RB,0.0,0.0,0.0,0.0,990.0,7.0,54.0,360.0,4.0
43,Chigoziem Okonkwo,TE,0.0,0.0,0.0,0.0,0.0,0.0,52.0,479.0,2.0
44,Chris Brooks,RB,0.0,0.0,0.0,0.0,183.0,1.0,0.0,0.0,0.0
45,Chris Godwin,WR,0.0,0.0,0.0,0.0,0.0,0.0,50.0,576.0,5.0
46,Christian McCaffrey,RB,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0
47,Chuba Hubbard,RB,0.0,0.0,0.0,0.0,1195.0,10.0,43.0,171.0,1.0
48,Cole Kmet,TE,0.0,0.0,0.0,0.0,0.0,0.0,47.0,474.0,4.0
49,Cooper Kupp,WR,0.0,0.0,0.0,0.0,0.0,0.0,67.0,710.0,6.0
50,Cooper Rush,QB,12.0,1844.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0
51,Courtland Sutton,WR,0.0,0.0,0.0,0.0,0.0,0.0,81.0,1081.0,8.0
52,D'Andre Swift,RB,0.0,0.0,0.0,0.0,959.0,6.0,42.0,386.0,0.0
53,D'Onta Foreman,RB,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0
54,D.J. Moore,WR,0.0,0.0,0.0,0.0,0.0,0.0,98.0,966.0,6.0
55,D.K. Metcalf,WR,0.0,0.0,0.0,0.0,0.0,0.0,66.0,992.0,5.0
56,Dak Prescott,QB,8.0,1978.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0
57,Dallas Goedert,TE,0.0,0.0,0.0,0.0,0.0,0.0,42.0,496.0,2.0
58,Dalton Kincaid,TE,0.0,0.0,0.0,0.0,0.0,0.0,44.0,448.0,2.0
59,Dalton Schultz,TE,0.0,0.0,0.0,0.0,0.0,0.0,53.0,532.0,2.0
60,Dameon Pierce,RB,0.0,0.0,0.0,0.0,293.0,2.0,0.0,0.0,0.0
61,Daniel Jones,QB,10.0,2070.0,8.0,7.0,265.0,2.0,0.0,0.0,0.0
62,Darius Slayton,WR,0.0,0.0,0.0,0.0,0.0,0.0,39.0,573.0,2.0
63,Darnell Mooney,WR,0.0,0.0,0.0,0.0,0.0,0.0,64.0,992.0,5.0
64,Davante Adams,WR,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1063.0,8.0
65,Davante Adams,WR,0.0,0.0,0.0,0.0,0.0,0.0,18.0,209.0,1.0
66,Davante Adams,WR,0.0,0.0,0.0,0.0,0.0,0.0,67.0,854.0,7.0
67,David Montgomery,RB,0.0,0.0,0.0,0.0,775.0,12.0,36.0,341.0,0.0
68,David Njoku,TE,0.0,0.0,0.0,0.0,0.0,0.0,64.0,505.0,5.0
69,De'Von Achane,RB,0.0,0.0,0.0,0.0,907.0,6.0,78.0,592.0,6.0
70,DeAndre Hopkins,WR,0.0,0.0,0.0,0.0,0.0,0.0,56.0,610.0,5.0
71,DeAndre Hopkins,WR,0.0,0.0,0.0,0.0,0.0,0.0,15.0,173.0,1.0
72,DeAndre Hopkins,WR,0.0,0.0,0.0,0.0,0.0,0.0,41.0,437.0,4.0
73,DeVonta Smith,WR,0.0,0.0,0.0,0.0,0.0,0.0,68.0,833.0,8.0
74,Deebo Samuel,WR,0.0,0.0,0.0,0.0,136.0,1.0,51.0,670.0,3.0
75,Demario Douglas,WR,0.0,0.0,0.0,0.0,0.0,0.0,66.0,621.0,3.0
76,Derek Carr,QB,10.0,2145.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0
77,Derrick Henry,RB,0.0,0.0,0.0,0.0,1921.0,16.0,0.0,0.0,0.0
78,Devaughn Vele,WR,0.0,0.0,0.0,0.0,0.0,0.0,41.0,475.0,3.0
79,Devin Singletary,RB,0.0,0.0,0.0,0.0,437.0,4.0,0.0,0.0,0.0
80,Dontayvion Wicks,WR,0.0,0.0,0.0,0.0,0.0,0.0,39.0,415.0,5.0
81,Drake London,WR,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1271.0,9.0
82,Drake Maye,QB,13.0,2276.0,15.0,10.0,421.0,2.0,0.0,0.0,0.0
83,Elijah Moore,WR,0.0,0.0,0.0,0.0,0.0,0.0,61.0,538.0,1.0
84,Emanuel Wilson,RB,0.0,0.0,0.0,0.0,502.0,4.0,0.0,0.0,0.0
85,Evan Engram,TE,0.0,0.0,0.0,0.0,0.0,0.0,47.0,365.0,1.0
86,Ezekiel Elliott,RB,0.0,0.0,0.0,0.0,226.0,3.0,0.0,0.0,0.0
87,Gardner Minshew II,QB,10.0,2013.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0
88,Garrett Wilson,WR,0.0,0.0,0.0,0.0,0.0,0.0,101.0,1104.0,7.0
89,Geno Smith,QB,17.0,4320.0,21.0,15.0,272.0,2.0,0.0,0.0,0.0
90,George Kittle,TE,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1106.0,8.0
91,George Pickens,WR,0.0,0.0,0.0,0.0,0.0,0.0,59.0,900.0,3.0
92,Greg Dortch,WR,0.0,0.0,0.0,0.0,0.0,0.0,37.0,342.0,3.0
93,Gus Edwards,RB,0.0,0.0,0.0,0.0,365.0,4.0,0.0,0.0,0.0
94,Hunter Henry,TE,0.0,0.0,0.0,0.0,0.0,0.0,66.0,674.0,2.0
95,Isaac Guerendo,RB,0.0,0.0,0.0,0.0,420.0,4.0,0.0,0.0,0.0
96,Isaiah Likely,TE,0.0,0.0,0.0,0.0,0.0,0.0,42.0,477.0,6.0
97,Isiah Pacheco,RB,0.0,0.0,0.0,0.0,310.0,1.0,0.0,0.0,0.0
98,J.K. Dobbins,RB,0.0,0.0,0.0,0.0,905.0,9.0,0.0,0.0,0.0
99,Ja'Marr Chase,WR,0.0,0.0,0.0,0.0,0.0,0.0,127.0,1708.0,17.0
100,Ja'Tavion Sanders,TE,0.0,0.0,0.0,0.0,0.0,0.0,33.0,342.0,1.0
101,Jahmyr Gibbs,RB,0.0,0.0,0.0,0.0,1412.0,16.0,52.0,517.0,4.0
102,Jake Ferguson,TE,0.0,0.0,0.0,0.0,0.0,0.0,59.0,494.0,0.0
103,Jakobi Meyers,WR,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1027.0,4.0
104,Jaleel McLaughlin,RB,0.0,0.0,0.0,0.0,496.0,1.0,0.0,0.0,0.0
105,Jalen Hurts,QB,15.0,2903.0,18.0,5.0,630.0,14.0,0.0,0.0,0.0
106,Jalen McMillan,WR,0.0,0.0,0.0,0.0,0.0,0.0,37.0,461.0,8.0
107,Jalen Tolbert,WR,0.0,0.0,0.0,0.0,0.0,0.0,49.0,610.0,7.0
108,Jamaal Williams,RB,0.0,0.0,0.0,0.0,164.0,1.0,0.0,0.0,0.0
109,Jameis Winston,QB,12.0,2121.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0
110,James Conner,RB,0.0,0.0,0.0,0.0,1094.0,8.0,47.0,414.0,1.0
111,James Cook,RB,0.0,0.0,0.0,0.0,1009.0,16.0,0.0,0.0,0.0
112,Jameson Williams,WR,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1001.0,7.0
113,Jared Goff,QB,17.0,4629.0,37.0,12.0,0.0,0.0,0.0,0.0,0.0
