Player,Pos,G,GS,Rec,Yds,TD,-9999
Ja'Marr Chase,WR,17,16,127,1708,17,ChasJa00
Amon-Ra St. Brown,WR,17,17,115,1263,12,StxxAm00
Brock Bowers,TE,17,16,112,1194,5,BoweBr01
Trey McBride,TE,16,16,111,1146,2,McBrTr01
Malik Nabers,WR,15,13,109,1204,7,NabeMa00
Justin Jefferson,WR,17,17,103,1533,10,JeffJu00
CeeDee Lamb,WR,15,15,101,1194,6,LambCe00
Garrett Wilson,WR,17,17,101,1104,7,WilsGa00
Drake London,WR,17,17,100,1271,9,LondDr00
Jaxon Smith-Njigba,WR,17,16,100,1130,6,SmitJa06
D.J. Moore,WR,17,17,98,966,6,MoorD.00
Travis Kelce,TE,16,16,97,823,3,KelcTr00
Wan'Dale Robinson,WR,17,7,93,699,3,RobiWa01
Jerry Jeudy,WR,17,16,90,1229,4,JeudJe00
Jonnu Smith,TE,17,6,88,884,8,SmitJo01
Jakobi Meyers,WR,15,15,87,1027,4,MeyeJa01
Brian Thomas,WR,17,16,87,1282,10,ThomBr06
Davante Adams,WR,14,14,85,1063,8,AdamDa01
Davante Adams,WR,3,3,18,209,1,AdamDa01
Davante Adams,WR,11,11,67,854,7,AdamDa01
Ladd McConkey,WR,16,14,82,1149,7,McCoLa00
Terry McLaurin,WR,17,17,82,1096,13,McLaTe00
Tyreek Hill,WR,17,17,81,959,6,HillTy00
Courtland Sutton,WR,17,13,81,1081,8,SuttCo00
Puka Nacua,WR,11,11,79,990,3,NacuPu00
De'Von Achane,RB,17,16,78,592,6,AchaDe00
George Kittle,TE,15,15,78,1106,8,KittGe00
Jauan Jennings,WR,15,10,77,975,6,JennJa00
Khalil Shakir,WR,15,9,76,821,4,ShakKh00
Mike Evans,WR,14,14,74,1004,11,EvanMi00
Zay Flowers,WR,17,15,74,1059,4,FlowZa00
Tee Higgins,WR,12,9,73,911,10,HiggTe00
Josh Downs,WR,14,8,72,803,5,DownJo00
Keenan Allen,WR,15,15,70,744,7,AlleKe00
Michael Pittman Jr.,WR,16,14,69,808,3,PittMi01
Nico Collins,WR,12,12,68,1006,7,CollNi00
Alvin Kamara,RB,14,14,68,543,2,KamaAl00
DeVonta Smith,WR,13,13,68,833,8,SmitDe07
A.J. Brown,WR,13,13,67,1079,7,BrowAJ00
Cooper Kupp,WR,12,11,67,710,6,KuppCo00
Demario Douglas,WR,17,7,66,621,3,DougDe00
Zach Ertz,TE,17,17,66,654,7,ErtzZa00
Hunter Henry,TE,16,16,66,674,2,HenrHu00
D.K. Metcalf,WR,15,12,66,992,5,MetcDK00
Pat Freiermuth,TE,17,11,65,653,7,FreiPa00
Mike Gesicki,TE,17,3,65,665,2,GesiMi00
Darnell Mooney,WR,16,16,64,992,5,MoonDa00
David Njoku,TE,11,11,64,505,5,NjokDa00
Calvin Ridley,WR,17,14,64,1017,4,RidlCa00
Jordan Addison,WR,15,15,63,875,9,AddiJo00
Marvin Harrison Jr.,WR,17,16,62,885,8,HarrMa09
Ray-Ray McCloud,WR,17,13,62,686,1,McClRa00
Elijah Moore,WR,17,13,61,538,1,MoorEl00
Bijan Robinson,RB,17,17,61,431,1,RobiBi01
Sam LaPorta,TE,16,16,60,726,7,LaPoSa01
Jake Ferguson,TE,14,14,59,494,0,FergJa00
Cade Otton,TE,14,14,59,600,4,OttoCa00
George Pickens,WR,14,12,59,900,3,PickGe00
Xavier Worthy,WR,17,13,59,638,6,WortXa00
Jaylen Waddle,WR,15,15,58,744,2,WaddJa00
Jameson Williams,WR,15,11,58,1001,7,WillJa11
Breece Hall,RB,16,16,57,483,3,HallBr03
DeAndre Hopkins,WR,16,8,56,610,5,HopkDe00
DeAndre Hopkins,WR,6,3,15,173,1,HopkDe00
DeAndre Hopkins,WR,10,5,41,437,4,HopkDe00
Mark Andrews,TE,17,13,55,673,11,AndrMa00
Quentin Johnston,WR,15,11,55,711,8,JohnQu02
Jayden Reed,WR,17,10,55,857,6,ReedJa03
Chase Brown,RB,16,10,54,360,4,BrowCh10
Rome Odunze,WR,17,12,54,734,3,OdunRo00
Dalton Schultz,TE,17,13,53,532,2,SchuDa00
Jahmyr Gibbs,RB,17,4,52,517,4,GibbJa01
Chigoziem Okonkwo,TE,17,11,52,479,2,OkonCh00
Javonte Williams,RB,17,11,52,346,0,WillJa10
Tyler Conklin,TE,16,15,51,449,4,ConkTy00
Tank Dell,WR,14,10,51,667,3,DellNa00
Aaron Jones,RB,17,17,51,408,2,JoneAa00
Deebo Samuel,WR,15,15,51,670,3,SamuDe00
Rachaad White,RB,16,15,51,393,6,WhitRa01
Will Dissly,TE,15,8,50,481,2,DissWi00
Chris Godwin,WR,7,7,50,576,5,GodwCh00
Juwan Johnson,TE,17,5,50,548,3,JohnJu02
Tucker Kraft,TE,17,17,50,707,7,KrafTu00
Xavier Legette,WR,16,13,49,497,4,LegeXa00
Tyler Lockett,WR,17,14,49,600,2,LockTy00
Jalen Tolbert,WR,17,15,49,610,7,TolbJa00
Noah Fant,TE,14,9,48,500,1,FantNo00
Adam Thielen,WR,10,10,48,615,5,ThieAd00
James Conner,RB,16,16,47,414,1,ConnJa00
Stefon Diggs,WR,8,8,47,496,3,DiggSt00
Evan Engram,TE,9,9,47,365,1,EngrEv00
Bucky Irving,RB,17,3,47,392,0,IrviBu00
Cole Kmet,TE,17,16,47,474,4,KmetCo00
Kyle Pitts,TE,17,15,47,602,4,PittKy00
Tre Tucker,WR,17,14,47,539,3,TuckTr00
Michael Wilson,WR,16,13,47,548,4,WilsMi02
Romeo Doubs,WR,13,12,46,601,4,DoubRo00
