Player,Pos,G,GS,Yds,TD,-9999
Saquon Barkley,RB,16,16,2005,13,BarkSa00
Derrick Henry,RB,17,17,1921,16,HenrDe00
Kyren Williams,RB,16,16,1299,14,WillKy02
Bijan Robinson,RB,17,17,1456,14,RobiBi01
Jonathan Taylor,RB,14,13,1431,11,TaylJo02
Josh Jacobs,RB,17,17,1329,15,JacoJo01
Najee Harris,RB,17,17,1043,6,HarrNa00
Tony Pollard,RB,16,16,1079,5,PollTo00
Aaron Jones,RB,17,17,1138,5,JoneAa00
D'Andre Swift,RB,17,17,959,6,SwifDA00
Jahmyr Gibbs,RB,17,4,1412,16,GibbJa01
Chuba Hubbard,RB,15,15,1195,10,HubbCh01
Joe Mixon,RB,14,14,1016,11,MixoJo00
James Conner,RB,16,16,1094,8,ConnJa00
Rico Dowdle,RB,16,15,1079,2,DowdRi01
Chase Brown,RB,16,10,990,7,BrowCh10
Alvin Kamara,RB,14,14,950,6,KamaAl00
Breece Hall,RB,16,16,876,5,HallBr03
James Cook,RB,16,16,1009,16,CookJa01
Bucky Irving,RB,17,3,1122,8,IrviBu00
Rhamondre Stevenson,RB,15,14,801,7,StevRh00
De'Von Achane,RB,17,16,907,6,AchaDe00
Kareem Hunt,RB,13,8,728,7,HuntKa00
J.K. Dobbins,RB,13,11,905,9,DobbJK00
Tyrone Tracy Jr.,RB,17,12,839,5,TracTy00
Brian Robinson Jr.,RB,14,13,799,8,RobiBr01
David Montgomery,RB,14,14,775,12,MontDa01
Tank Bigsby,RB,16,1,766,7,BigsTa00
Jordan Mason,RB,12,6,789,3,MasoJo00
Kenneth Walker III,RB,11,11,573,7,WalkKe00
Travis Etienne,RB,15,15,558,2,EtieTr00
Jalen Hurts,QB,15,15,630,14,HurtJa00
Jayden Daniels,QB,17,17,891,6,DaniJa02
Rachaad White,RB,16,15,613,3,WhitRa01
Lamar Jackson,QB,17,17,915,4,JackLa00
Javonte Williams,RB,17,11,513,4,WillJa10
Tyler Allgeier,RB,17,0,644,3,AllgTy00
Zach Charbonnet,RB,17,6,569,8,CharZa00
Alexander Mattison,RB,14,7,420,4,MattAl01
Antonio Gibson,RB,17,3,538,1,GibsAn00
Jaylen Warren,RB,15,0,511,1,WarrJa01
Ray Davis,RB,17,0,442,3,DaviRa04
Jaleel McLaughlin,RB,16,5,496,1,McLaJa00
Devin Singletary,RB,15,5,437,4,SingDe00
Jerome Ford,RB,14,6,565,3,FordJe00
Cam Akers,RB,17,2,444,2,AkerCa00
